contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,yf_iv
SPY260709C00723000,2026-07-09,call,723.0,0.0,0.0,24.05,2.0,0.0,1.0000000000000003e-05
SPY260709C00724000,2026-07-09,call,724.0,0.0,0.0,21.11,20.0,0.0,1.0000000000000003e-05
SPY260709C00725000,2026-07-09,call,725.0,0.0,0.0,20.0,66.0,0.0,1.0000000000000003e-05
SPY260709C00726000,2026-07-09,call,726.0,0.0,0.0,18.5,60.0,0.0,1.0000000000000003e-05
SPY260709C00727000,2026-07-09,call,727.0,0.0,0.0,18.03,18.0,0.0,1.0000000000000003e-05
SPY260709C00728000,2026-07-09,call,728.0,0.0,0.0,17.1,60.0,0.0,1.0000000000000003e-05
SPY260709C00729000,2026-07-09,call,729.0,0.0,0.0,16.63,31.0,0.0,1.0000000000000003e-05
SPY260709C00730000,2026-07-09,call,730.0,0.0,0.0,14.9,138.0,0.0,1.0000000000000003e-05
SPY260709C00731000,2026-07-09,call,731.0,0.0,0.0,14.07,201.0,0.0,1.0000000000000003e-05
SPY260709C00732000,2026-07-09,call,732.0,0.0,0.0,13.65,260.0,0.0,1.0000000000000003e-05
SPY260709C00733000,2026-07-09,call,733.0,0.0,0.0,12.73,105.0,0.0,1.0000000000000003e-05
SPY260709C00734000,2026-07-09,call,734.0,0.0,0.0,11.28,517.0,0.0,1.0000000000000003e-05
SPY260709C00735000,2026-07-09,call,735.0,0.0,0.0,10.27,727.0,0.0,1.0000000000000003e-05
SPY260709C00736000,2026-07-09,call,736.0,0.0,0.0,9.41,509.0,0.0,1.0000000000000003e-05
SPY260709C00737000,2026-07-09,call,737.0,0.0,0.0,8.24,792.0,0.0,1.0000000000000003e-05
SPY260709C00738000,2026-07-09,call,738.0,0.0,0.0,7.59,1592.0,0.0,1.0000000000000003e-05
SPY260709C00739000,2026-07-09,call,739.0,0.0,0.0,6.84,3506.0,0.0,1.0000000000000003e-05
SPY260709C00740000,2026-07-09,call,740.0,0.0,0.0,5.86,10865.0,0.0,1.0000000000000003e-05
SPY260709C00741000,2026-07-09,call,741.0,0.0,0.0,4.96,28475.0,0.0,1.0000000000000003e-05
SPY260709C00742000,2026-07-09,call,742.0,0.0,0.0,4.23,25653.0,0.0,1.0000000000000003e-05
SPY260709C00743000,2026-07-09,call,743.0,0.0,0.0,3.55,36291.0,0.0,1.0000000000000003e-05
SPY260709C00744000,2026-07-09,call,744.0,0.0,0.0,2.87,52128.0,0.0,1.0000000000000003e-05
SPY260709C00745000,2026-07-09,call,745.0,0.0,0.0,2.27,89368.0,0.0,1.0000000000000003e-05
SPY260709C00746000,2026-07-09,call,746.0,0.0,0.0,1.74,69743.0,0.0,0.0039162109375
SPY260709C00747000,2026-07-09,call,747.0,0.0,0.0,1.29,59681.0,0.0,0.015634843750000002
SPY260709C00748000,2026-07-09,call,748.0,0.0,0.0,0.91,45497.0,0.0,0.015634843750000002
SPY260709C00749000,2026-07-09,call,749.0,0.0,0.0,0.64,33790.0,0.0,0.0312596875
SPY260709C00750000,2026-07-09,call,750.0,0.0,0.0,0.42,69600.0,0.0,0.0312596875
SPY260709C00751000,2026-07-09,call,751.0,0.0,0.0,0.27,47261.0,0.0,0.0312596875
SPY260709C00752000,2026-07-09,call,752.0,0.0,0.0,0.17,24992.0,0.0,0.0312596875
SPY260709C00753000,2026-07-09,call,753.0,0.0,0.0,0.09,15205.0,0.0,0.062509375
SPY260709C00754000,2026-07-09,call,754.0,0.0,0.0,0.07,10547.0,0.0,0.062509375
SPY260709C00755000,2026-07-09,call,755.0,0.0,0.0,0.04,7935.0,0.0,0.062509375
SPY260709C00756000,2026-07-09,call,756.0,0.0,0.0,0.02,3082.0,0.0,0.062509375
SPY260709C00757000,2026-07-09,call,757.0,0.0,0.0,0.02,3006.0,0.0,0.062509375
SPY260709C00758000,2026-07-09,call,758.0,0.0,0.0,0.02,1254.0,0.0,0.062509375
SPY260709C00759000,2026-07-09,call,759.0,0.0,0.0,0.01,1146.0,0.0,0.062509375
SPY260709C00760000,2026-07-09,call,760.0,0.0,0.0,0.01,1484.0,0.0,0.062509375
SPY260709C00761000,2026-07-09,call,761.0,0.0,0.0,0.01,397.0,0.0,0.062509375
SPY260709C00762000,2026-07-09,call,762.0,0.0,0.0,0.01,1009.0,0.0,0.12500875
SPY260709C00763000,2026-07-09,call,763.0,0.0,0.0,0.01,777.0,0.0,0.12500875
SPY260709C00764000,2026-07-09,call,764.0,0.0,0.0,0.01,477.0,0.0,0.12500875
SPY260709C00765000,2026-07-09,call,765.0,0.0,0.0,0.01,4430.0,0.0,0.12500875
SPY260709C00766000,2026-07-09,call,766.0,0.0,0.0,0.01,3421.0,0.0,0.12500875
SPY260709C00767000,2026-07-09,call,767.0,0.0,0.0,0.01,13.0,0.0,0.12500875
SPY260709C00768000,2026-07-09,call,768.0,0.0,0.0,0.01,14.0,0.0,0.12500875
SPY260709C00769000,2026-07-09,call,769.0,0.0,0.0,0.01,1.0,0.0,0.12500875
SPY260709C00770000,2026-07-09,call,770.0,0.0,0.0,0.01,5837.0,0.0,0.12500875
SPY260709C00771000,2026-07-09,call,771.0,0.0,0.0,0.01,4.0,0.0,0.12500875
SPY260709C00772000,2026-07-09,call,772.0,0.0,0.0,0.01,1.0,0.0,0.12500875
SPY260709C00773000,2026-07-09,call,773.0,0.0,0.0,0.01,75.0,0.0,0.12500875
SPY260709C00774000,2026-07-09,call,774.0,0.0,0.0,0.01,22.0,0.0,0.12500875
SPY260709C00775000,2026-07-09,call,775.0,0.0,0.0,0.01,1.0,0.0,0.12500875
SPY260709C00776000,2026-07-09,call,776.0,0.0,0.0,0.01,113.0,0.0,0.12500875
SPY260709C00777000,2026-07-09,call,777.0,0.0,0.0,0.01,30.0,0.0,0.12500875
SPY260709C00778000,2026-07-09,call,778.0,0.0,0.0,0.01,1.0,0.0,0.12500875
SPY260709C00779000,2026-07-09,call,779.0,0.0,0.0,0.01,1.0,0.0,0.2500075
SPY260709C00780000,2026-07-09,call,780.0,0.0,0.0,0.01,5.0,0.0,0.2500075
SPY260709C00781000,2026-07-09,call,781.0,0.0,0.0,0.01,1200.0,0.0,0.2500075
SPY260709C00783000,2026-07-09,call,783.0,0.0,0.0,0.01,340.0,0.0,0.2500075
SPY260709C00784000,2026-07-09,call,784.0,0.0,0.0,0.02,391.0,0.0,0.2500075
SPY260709C00785000,2026-07-09,call,785.0,0.0,0.0,0.01,1.0,0.0,0.2500075
SPY260709C00786000,2026-07-09,call,786.0,0.0,0.0,0.02,108.0,0.0,0.2500075
SPY260709C00787000,2026-07-09,call,787.0,0.0,0.0,0.02,8.0,0.0,0.2500075
SPY260709C00788000,2026-07-09,call,788.0,0.0,0.0,0.02,1.0,0.0,0.2500075
SPY260709C00789000,2026-07-09,call,789.0,0.0,0.0,0.02,,0.0,0.2500075
SPY260709C00791000,2026-07-09,call,791.0,0.0,0.0,0.01,2.0,0.0,0.2500075
SPY260709C00792000,2026-07-09,call,792.0,0.0,0.0,0.02,8.0,0.0,0.2500075
SPY260709C00793000,2026-07-09,call,793.0,0.0,0.0,0.01,20.0,0.0,0.2500075
SPY260709C00794000,2026-07-09,call,794.0,0.0,0.0,0.01,576.0,0.0,0.2500075
SPY260709C00795000,2026-07-09,call,795.0,0.0,0.0,0.01,1.0,0.0,0.2500075
SPY260709C00800000,2026-07-09,call,800.0,0.0,0.0,0.01,37.0,0.0,0.2500075
SPY260709C00805000,2026-07-09,call,805.0,0.0,0.0,0.01,36.0,0.0,0.2500075
SPY260709C00810000,2026-07-09,call,810.0,0.0,0.0,0.01,1.0,0.0,0.2500075
SPY260709C00815000,2026-07-09,call,815.0,0.0,0.0,0.01,6.0,0.0,0.2500075
SPY260709C00820000,2026-07-09,call,820.0,0.0,0.0,0.01,10.0,0.0,0.500005
SPY260709C00825000,2026-07-09,call,825.0,0.0,0.0,0.02,315.0,0.0,0.500005
SPY260709C00830000,2026-07-09,call,830.0,0.0,0.0,0.01,326.0,0.0,0.500005
SPY260709C00835000,2026-07-09,call,835.0,0.0,0.0,0.01,190.0,0.0,0.500005
SPY260709C00840000,2026-07-09,call,840.0,0.0,0.0,0.01,66.0,0.0,0.500005
SPY260709C00845000,2026-07-09,call,845.0,0.0,0.0,0.01,228.0,0.0,0.500005
SPY260709C00950000,2026-07-09,call,950.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00500000,2026-07-09,put,500.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00505000,2026-07-09,put,505.0,0.0,0.0,0.01,,0.0,0.500005
SPY260709P00510000,2026-07-09,put,510.0,0.0,0.0,0.01,,0.0,0.500005
SPY260709P00550000,2026-07-09,put,550.0,0.0,0.0,0.01,,0.0,0.500005
SPY260709P00565000,2026-07-09,put,565.0,0.0,0.0,0.02,,0.0,0.500005
SPY260709P00570000,2026-07-09,put,570.0,0.0,0.0,0.03,,0.0,0.500005
SPY260709P00580000,2026-07-09,put,580.0,0.0,0.0,0.01,35.0,0.0,0.500005
SPY260709P00585000,2026-07-09,put,585.0,0.0,0.0,0.01,51.0,0.0,0.500005
SPY260709P00590000,2026-07-09,put,590.0,0.0,0.0,0.01,40.0,0.0,0.500005
SPY260709P00595000,2026-07-09,put,595.0,0.0,0.0,0.05,20.0,0.0,0.500005
SPY260709P00600000,2026-07-09,put,600.0,0.0,0.0,0.01,71.0,0.0,0.500005
SPY260709P00605000,2026-07-09,put,605.0,0.0,0.0,0.03,60.0,0.0,0.500005
SPY260709P00610000,2026-07-09,put,610.0,0.0,0.0,0.03,77.0,0.0,0.500005
SPY260709P00620000,2026-07-09,put,620.0,0.0,0.0,0.03,36.0,0.0,0.500005
SPY260709P00625000,2026-07-09,put,625.0,0.0,0.0,0.04,5.0,0.0,0.500005
SPY260709P00630000,2026-07-09,put,630.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00635000,2026-07-09,put,635.0,0.0,0.0,0.01,22.0,0.0,0.500005
SPY260709P00640000,2026-07-09,put,640.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00645000,2026-07-09,put,645.0,0.0,0.0,0.01,10.0,0.0,0.500005
SPY260709P00650000,2026-07-09,put,650.0,0.0,0.0,0.01,2.0,0.0,0.500005
SPY260709P00655000,2026-07-09,put,655.0,0.0,0.0,0.01,2.0,0.0,0.500005
SPY260709P00660000,2026-07-09,put,660.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00665000,2026-07-09,put,665.0,0.0,0.0,0.01,1.0,0.0,0.500005
SPY260709P00670000,2026-07-09,put,670.0,0.0,0.0,0.01,266.0,0.0,0.500005
SPY260709P00675000,2026-07-09,put,675.0,0.0,0.0,0.01,740.0,0.0,0.500005
SPY260709P00680000,2026-07-09,put,680.0,0.0,0.0,0.01,1753.0,0.0,0.2500075
SPY260709P00685000,2026-07-09,put,685.0,0.0,0.0,0.01,147.0,0.0,0.2500075
SPY260709P00690000,2026-07-09,put,690.0,0.0,0.0,0.01,365.0,0.0,0.2500075
SPY260709P00695000,2026-07-09,put,695.0,0.0,0.0,0.01,1402.0,0.0,0.2500075
SPY260709P00700000,2026-07-09,put,700.0,0.0,0.0,0.01,6931.0,0.0,0.2500075
SPY260709P00701000,2026-07-09,put,701.0,0.0,0.0,0.01,9251.0,0.0,0.2500075
SPY260709P00702000,2026-07-09,put,702.0,0.0,0.0,0.01,7309.0,0.0,0.2500075
SPY260709P00703000,2026-07-09,put,703.0,0.0,0.0,0.01,4136.0,0.0,0.2500075
SPY260709P00704000,2026-07-09,put,704.0,0.0,0.0,0.01,151.0,0.0,0.2500075
SPY260709P00705000,2026-07-09,put,705.0,0.0,0.0,0.01,6470.0,0.0,0.2500075
SPY260709P00706000,2026-07-09,put,706.0,0.0,0.0,0.02,7884.0,0.0,0.2500075
SPY260709P00707000,2026-07-09,put,707.0,0.0,0.0,0.01,1865.0,0.0,0.2500075
SPY260709P00708000,2026-07-09,put,708.0,0.0,0.0,0.01,967.0,0.0,0.2500075
SPY260709P00709000,2026-07-09,put,709.0,0.0,0.0,0.01,1321.0,0.0,0.2500075
SPY260709P00710000,2026-07-09,put,710.0,0.0,0.0,0.01,1711.0,0.0,0.2500075
SPY260709P00711000,2026-07-09,put,711.0,0.0,0.0,0.01,393.0,0.0,0.2500075
SPY260709P00712000,2026-07-09,put,712.0,0.0,0.0,0.01,688.0,0.0,0.2500075
SPY260709P00713000,2026-07-09,put,713.0,0.0,0.0,0.01,558.0,0.0,0.2500075
SPY260709P00714000,2026-07-09,put,714.0,0.0,0.0,0.02,1074.0,0.0,0.12500875
SPY260709P00715000,2026-07-09,put,715.0,0.0,0.0,0.01,282.0,0.0,0.12500875
SPY260709P00716000,2026-07-09,put,716.0,0.0,0.0,0.02,994.0,0.0,0.12500875
SPY260709P00717000,2026-07-09,put,717.0,0.0,0.0,0.01,280.0,0.0,0.12500875
SPY260709P00718000,2026-07-09,put,718.0,0.0,0.0,0.02,443.0,0.0,0.12500875
SPY260709P00719000,2026-07-09,put,719.0,0.0,0.0,0.02,1040.0,0.0,0.12500875
SPY260709P00720000,2026-07-09,put,720.0,0.0,0.0,0.02,3032.0,0.0,0.12500875
SPY260709P00721000,2026-07-09,put,721.0,0.0,0.0,0.02,1392.0,0.0,0.12500875
SPY260709P00722000,2026-07-09,put,722.0,0.0,0.0,0.01,3828.0,0.0,0.12500875
SPY260709P00723000,2026-07-09,put,723.0,0.0,0.0,0.02,4335.0,0.0,0.12500875
SPY260709P00724000,2026-07-09,put,724.0,0.0,0.0,0.03,4060.0,0.0,0.12500875
SPY260709P00725000,2026-07-09,put,725.0,0.0,0.0,0.03,10273.0,0.0,0.12500875
SPY260709P00726000,2026-07-09,put,726.0,0.0,0.0,0.04,5957.0,0.0,0.12500875
SPY260709P00727000,2026-07-09,put,727.0,0.0,0.0,0.05,7681.0,0.0,0.12500875
SPY260709P00728000,2026-07-09,put,728.0,0.0,0.0,0.05,12105.0,0.0,0.12500875
SPY260709P00729000,2026-07-09,put,729.0,0.0,0.0,0.07,11698.0,0.0,0.12500875
SPY260709P00730000,2026-07-09,put,730.0,0.0,0.0,0.09,20115.0,0.0,0.12500875
SPY260709P00731000,2026-07-09,put,731.0,0.0,0.0,0.11,11021.0,0.0,0.062509375
SPY260709P00732000,2026-07-09,put,732.0,0.0,0.0,0.14,14787.0,0.0,0.062509375
SPY260709P00733000,2026-07-09,put,733.0,0.0,0.0,0.16,11615.0,0.0,0.062509375
SPY260709P00734000,2026-07-09,put,734.0,0.0,0.0,0.21,20317.0,0.0,0.062509375
SPY260709P00735000,2026-07-09,put,735.0,0.0,0.0,0.25,33183.0,0.0,0.062509375
SPY260709P00736000,2026-07-09,put,736.0,0.0,0.0,0.34,24487.0,0.0,0.062509375
SPY260709P00737000,2026-07-09,put,737.0,0.0,0.0,0.42,27118.0,0.0,0.062509375
SPY260709P00738000,2026-07-09,put,738.0,0.0,0.0,0.53,34892.0,0.0,0.062509375
SPY260709P00739000,2026-07-09,put,739.0,0.0,0.0,0.65,59936.0,0.0,0.0312596875
SPY260709P00740000,2026-07-09,put,740.0,0.0,0.0,0.82,96049.0,0.0,0.0312596875
SPY260709P00741000,2026-07-09,put,741.0,0.0,0.0,1.0,58144.0,0.0,0.0312596875
SPY260709P00742000,2026-07-09,put,742.0,0.0,0.0,1.22,62738.0,0.0,0.0312596875
SPY260709P00743000,2026-07-09,put,743.0,0.0,0.0,1.49,67174.0,0.0,0.015634843750000002
SPY260709P00744000,2026-07-09,put,744.0,0.0,0.0,1.83,73703.0,0.0,0.007822421875
SPY260709P00745000,2026-07-09,put,745.0,0.0,0.0,2.24,72464.0,0.0,0.0039162109375
SPY260709P00746000,2026-07-09,put,746.0,0.0,0.0,2.71,20585.0,0.0,1.0000000000000003e-05
SPY260709P00747000,2026-07-09,put,747.0,0.0,0.0,3.3,7308.0,0.0,1.0000000000000003e-05
SPY260709P00748000,2026-07-09,put,748.0,0.0,0.0,3.87,3366.0,0.0,1.0000000000000003e-05
SPY260709P00749000,2026-07-09,put,749.0,0.0,0.0,4.7,2389.0,0.0,1.0000000000000003e-05
SPY260709P00750000,2026-07-09,put,750.0,0.0,0.0,5.35,4705.0,0.0,1.0000000000000003e-05
SPY260709P00751000,2026-07-09,put,751.0,0.0,0.0,6.2,875.0,0.0,1.0000000000000003e-05
SPY260709P00752000,2026-07-09,put,752.0,0.0,0.0,7.28,600.0,0.0,1.0000000000000003e-05
SPY260709P00753000,2026-07-09,put,753.0,0.0,0.0,7.95,418.0,0.0,1.0000000000000003e-05
SPY260709P00754000,2026-07-09,put,754.0,0.0,0.0,9.2,76.0,0.0,1.0000000000000003e-05
SPY260709P00755000,2026-07-09,put,755.0,0.0,0.0,9.88,313.0,0.0,1.0000000000000003e-05
SPY260709P00756000,2026-07-09,put,756.0,0.0,0.0,10.87,79.0,0.0,1.0000000000000003e-05
SPY260709P00757000,2026-07-09,put,757.0,0.0,0.0,11.86,60.0,0.0,1.0000000000000003e-05
SPY260709P00758000,2026-07-09,put,758.0,0.0,0.0,14.31,3.0,0.0,1.0000000000000003e-05
SPY260709P00759000,2026-07-09,put,759.0,0.0,0.0,14.11,127.0,0.0,1.0000000000000003e-05
SPY260709P00760000,2026-07-09,put,760.0,0.0,0.0,14.86,40.0,0.0,1.0000000000000003e-05
SPY260709P00761000,2026-07-09,put,761.0,0.0,0.0,15.9,41.0,,1.0000000000000003e-05
SPY260709P00762000,2026-07-09,put,762.0,0.0,0.0,16.9,2.0,,1.0000000000000003e-05
SPY260709P00763000,2026-07-09,put,763.0,0.0,0.0,17.93,5.0,,1.0000000000000003e-05
SPY260709P00764000,2026-07-09,put,764.0,0.0,0.0,18.64,88.0,0.0,1.0000000000000003e-05
SPY260709P00765000,2026-07-09,put,765.0,0.0,0.0,19.61,4.0,,1.0000000000000003e-05
SPY260709P00766000,2026-07-09,put,766.0,0.0,0.0,20.64,2.0,,1.0000000000000003e-05
SPY260709P00767000,2026-07-09,put,767.0,0.0,0.0,15.54,,,1.0000000000000003e-05
SPY260709P00768000,2026-07-09,put,768.0,0.0,0.0,22.7,6.0,0.0,1.0000000000000003e-05
SPY260709P00769000,2026-07-09,put,769.0,0.0,0.0,23.78,96.0,,1.0000000000000003e-05
SPY260709P00770000,2026-07-09,put,770.0,0.0,0.0,20.38,,,1.0000000000000003e-05
SPY260709P00771000,2026-07-09,put,771.0,0.0,0.0,21.36,,,1.0000000000000003e-05
SPY260709P00772000,2026-07-09,put,772.0,0.0,0.0,26.8,2.0,,1.0000000000000003e-05
SPY260709P00773000,2026-07-09,put,773.0,0.0,0.0,23.16,,,1.0000000000000003e-05
SPY260709P00774000,2026-07-09,put,774.0,0.0,0.0,28.4,,,1.0000000000000003e-05
SPY260709P00775000,2026-07-09,put,775.0,0.0,0.0,29.91,2.0,,1.0000000000000003e-05
SPY260709P00776000,2026-07-09,put,776.0,0.0,0.0,26.25,,,1.0000000000000003e-05
SPY260709P00777000,2026-07-09,put,777.0,0.0,0.0,27.25,,,1.0000000000000003e-05
SPY260709P00778000,2026-07-09,put,778.0,0.0,0.0,28.32,,,1.0000000000000003e-05
SPY260709P00779000,2026-07-09,put,779.0,0.0,0.0,29.32,,,1.0000000000000003e-05
SPY260709P00780000,2026-07-09,put,780.0,0.0,0.0,31.2,,,1.0000000000000003e-05
SPY260709P00781000,2026-07-09,put,781.0,0.0,0.0,31.35,,,1.0000000000000003e-05
SPY260709P00782000,2026-07-09,put,782.0,0.0,0.0,32.27,,,1.0000000000000003e-05
SPY260709P00783000,2026-07-09,put,783.0,0.0,0.0,33.36,,,1.0000000000000003e-05
SPY260709P00784000,2026-07-09,put,784.0,0.0,0.0,34.37,,,1.0000000000000003e-05
SPY260709P00785000,2026-07-09,put,785.0,0.0,0.0,35.35,,,1.0000000000000003e-05
SPY260709P00786000,2026-07-09,put,786.0,0.0,0.0,36.38,,,1.0000000000000003e-05
SPY260709P00787000,2026-07-09,put,787.0,0.0,0.0,37.37,,,1.0000000000000003e-05
SPY260709P00788000,2026-07-09,put,788.0,0.0,0.0,38.34,,,1.0000000000000003e-05
SPY260709P00789000,2026-07-09,put,789.0,0.0,0.0,39.38,,,1.0000000000000003e-05
SPY260709P00790000,2026-07-09,put,790.0,0.0,0.0,40.33,,,1.0000000000000003e-05
SPY260709P00791000,2026-07-09,put,791.0,0.0,0.0,41.21,,,1.0000000000000003e-05
SPY260709P00792000,2026-07-09,put,792.0,0.0,0.0,42.33,,,1.0000000000000003e-05
SPY260709P00793000,2026-07-09,put,793.0,0.0,0.0,43.31,,,1.0000000000000003e-05
SPY260709P00794000,2026-07-09,put,794.0,0.0,0.0,44.32,,,1.0000000000000003e-05
SPY260709P00795000,2026-07-09,put,795.0,0.0,0.0,45.3,,,1.0000000000000003e-05
SPY260709P00800000,2026-07-09,put,800.0,0.0,0.0,50.31,3.0,0.0,1.0000000000000003e-05
SPY260709P00805000,2026-07-09,put,805.0,0.0,0.0,55.3,,,1.0000000000000003e-05
SPY260709P00810000,2026-07-09,put,810.0,0.0,0.0,60.78,,,1.0000000000000003e-05
SPY260709P00815000,2026-07-09,put,815.0,0.0,0.0,65.37,,,1.0000000000000003e-05
SPY260709P00820000,2026-07-09,put,820.0,0.0,0.0,70.4,,,1.0000000000000003e-05
SPY260709P00825000,2026-07-09,put,825.0,0.0,0.0,75.39,,,1.0000000000000003e-05
SPY260709P00830000,2026-07-09,put,830.0,0.0,0.0,80.26,,,1.0000000000000003e-05
SPY260709P00835000,2026-07-09,put,835.0,0.0,0.0,85.38,,,1.0000000000000003e-05
SPY260709P00840000,2026-07-09,put,840.0,0.0,0.0,90.32,,,1.0000000000000003e-05
SPY260709P00845000,2026-07-09,put,845.0,0.0,0.0,95.32,,,1.0000000000000003e-05
SPY260709P00850000,2026-07-09,put,850.0,0.0,0.0,100.32,,,1.0000000000000003e-05
SPY260709P00855000,2026-07-09,put,855.0,0.0,0.0,105.37,,,1.0000000000000003e-05
SPY260709P00860000,2026-07-09,put,860.0,0.0,0.0,110.34,,,1.0000000000000003e-05
SPY260709P00865000,2026-07-09,put,865.0,0.0,0.0,115.28,,,1.0000000000000003e-05
SPY260709P00870000,2026-07-09,put,870.0,0.0,0.0,120.19,,,1.0000000000000003e-05
SPY260709P00875000,2026-07-09,put,875.0,0.0,0.0,125.14,,,1.0000000000000003e-05
SPY260709P00880000,2026-07-09,put,880.0,0.0,0.0,130.15,,,1.0000000000000003e-05
SPY260709P00885000,2026-07-09,put,885.0,0.0,0.0,135.36,,,1.0000000000000003e-05
SPY260709P00890000,2026-07-09,put,890.0,0.0,0.0,140.1,,,1.0000000000000003e-05
SPY260709P00895000,2026-07-09,put,895.0,0.0,0.0,145.15,,,1.0000000000000003e-05
SPY260709P00900000,2026-07-09,put,900.0,0.0,0.0,150.3,,,1.0000000000000003e-05
SPY260709P00905000,2026-07-09,put,905.0,0.0,0.0,155.22,,,1.0000000000000003e-05
SPY260709P00910000,2026-07-09,put,910.0,0.0,0.0,160.21,,,1.0000000000000003e-05
SPY260709P00915000,2026-07-09,put,915.0,0.0,0.0,165.16,,,1.0000000000000003e-05
SPY260709P00920000,2026-07-09,put,920.0,0.0,0.0,170.16,,,1.0000000000000003e-05
SPY260709P00925000,2026-07-09,put,925.0,0.0,0.0,175.22,,,1.0000000000000003e-05
SPY260709P00930000,2026-07-09,put,930.0,0.0,0.0,180.25,,,1.0000000000000003e-05
SPY260709P00935000,2026-07-09,put,935.0,0.0,0.0,185.17,,,1.0000000000000003e-05
SPY260709P00940000,2026-07-09,put,940.0,0.0,0.0,190.23,,,1.0000000000000003e-05
SPY260709P00945000,2026-07-09,put,945.0,0.0,0.0,195.19,,,1.0000000000000003e-05
SPY260709P00950000,2026-07-09,put,950.0,0.0,0.0,200.17,,,1.0000000000000003e-05
SPY260710C00450000,2026-07-10,call,450.0,0.0,0.0,285.63,5.0,0.0,1.0000000000000003e-05
SPY260710C00480000,2026-07-10,call,480.0,0.0,0.0,269.25,,0.0,1.0000000000000003e-05
SPY260710C00495000,2026-07-10,call,495.0,0.0,0.0,230.27,,0.0,1.0000000000000003e-05
SPY260710C00500000,2026-07-10,call,500.0,0.0,0.0,228.88,,0.0,1.0000000000000003e-05
SPY260710C00520000,2026-07-10,call,520.0,0.0,0.0,227.79,2.0,0.0,1.0000000000000003e-05
SPY260710C00525000,2026-07-10,call,525.0,0.0,0.0,223.0,2.0,0.0,1.0000000000000003e-05
SPY260710C00530000,2026-07-10,call,530.0,0.0,0.0,218.1,2.0,0.0,1.0000000000000003e-05
SPY260710C00535000,2026-07-10,call,535.0,0.0,0.0,202.56,,0.0,1.0000000000000003e-05
SPY260710C00555000,2026-07-10,call,555.0,0.0,0.0,196.07,1.0,0.0,1.0000000000000003e-05
SPY260710C00560000,2026-07-10,call,560.0,0.0,0.0,181.3,,0.0,1.0000000000000003e-05
SPY260710C00565000,2026-07-10,call,565.0,0.0,0.0,181.49,,0.0,1.0000000000000003e-05
SPY260710C00575000,2026-07-10,call,575.0,0.0,0.0,170.86,1.0,0.0,1.0000000000000003e-05
SPY260710C00590000,2026-07-10,call,590.0,0.0,0.0,144.33,4.0,0.0,1.0000000000000003e-05
SPY260710C00595000,2026-07-10,call,595.0,0.0,0.0,140.09,50.0,0.0,1.0000000000000003e-05
SPY260710C00600000,2026-07-10,call,600.0,0.0,0.0,145.1,4.0,0.0,1.0000000000000003e-05
SPY260710C00605000,2026-07-10,call,605.0,0.0,0.0,143.99,1.0,0.0,1.0000000000000003e-05
SPY260710C00610000,2026-07-10,call,610.0,0.0,0.0,132.95,1.0,0.0,1.0000000000000003e-05
